"Seconds";"Speed";"RPM";"Distance";"Calories";"Pulse";"Watts";"Load";"CurrentSessionLevel";"OriginalLevel";"SessionSkalaModifier";"CurrentSkalaModifier";"ANT_RR";"ANT_InstantHR";"CurrentPicture";"CurrentSessionNumber"
"900";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"900";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"900";"36.5";"98";"0.0";"0";"0";"233.0";"11";"11";"2";"9";"9";"0.824";"76";"/storage/emulated/0/Documents/images/TE9/0117a.jpg";"26"
"899";"36.5";"98";"0.0";"0";"0";"233.0";"11";"11";"2";"9";"9";"0.815";"76";"/storage/emulated/0/Documents/images/TE9/0117a.jpg";"26"
"898";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"898";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"898";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"898";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"898";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"898";"16.8";"45";"0.0";"0";"0";"60.5";"11";"11";"2";"9";"9";"0.765";"76";"/storage/emulated/0/Documents/images/TE9/0117a.jpg";"26"
"897";"17.9";"48";"0.0";"0";"0";"68.0";"11";"11";"2";"9";"9";"0.78";"77";"/storage/emulated/0/Documents/images/TE9/0117a.jpg";"26"
"896";"18.2";"49";"0.0";"0";"0";"70.5";"11";"11";"2";"9";"9";"0.777";"77";"/storage/emulated/0/Documents/images/TE9/0117a.jpg";"26"
"895";"17.1";"46";"0.0";"0";"0";"63.0";"11";"11";"2";"9";"9";"0.764";"78";"/storage/emulated/0/Documents/images/TE9/0117a.jpg";"26"
"894";"16.8";"45";"0.0";"0";"0";"60.5";"11";"11";"2";"9";"9";"0.746";"78";"/storage/emulated/0/Documents/images/TE9/0117a.jpg";"26"
"893";"16.8";"45";"0.0";"0";"0";"60.5";"11";"11";"2";"9";"9";"0.724";"79";"/storage/emulated/0/Documents/images/TE9/0117a.jpg";"26"
"892";"17.5";"47";"0.0";"0";"0";"65.5";"11";"11";"2";"9";"9";"0.723";"80";"/storage/emulated/0/Documents/images/TE9/0117a.jpg";"26"
"891";"17.9";"48";"0.0";"1";"0";"68.0";"11";"11";"2";"9";"9";"0.706";"81";"/storage/emulated/0/Documents/images/TE9/0117a.jpg";"26"
"890";"17.5";"47";"0.0";"1";"0";"65.5";"11";"11";"2";"9";"9";"0.696";"83";"/storage/emulated/0/Documents/images/TE9/0117a.jpg";"26"
"889";"17.5";"47";"0.0";"1";"0";"65.5";"11";"11";"2";"9";"9";"0.693";"83";"/storage/emulated/0/Documents/images/TE9/0117a.jpg";"26"
"888";"17.1";"46";"0.0";"1";"0";"63.0";"11";"11";"2";"9";"9";"0.733";"83";"/storage/emulated/0/Documents/images/TE9/0117a.jpg";"26"
"887";"16.4";"44";"0.0";"1";"0";"58.0";"11";"11";"2";"9";"9";"0.731";"84";"/storage/emulated/0/Documents/images/TE9/0117a.jpg";"26"
"886";"16.8";"45";"0.0";"1";"0";"60.5";"11";"11";"2";"9";"9";"0.738";"83";"/storage/emulated/0/Documents/images/TE9/0117a.jpg";"26"
"885";"16.8";"45";"0.0";"1";"0";"60.5";"11";"11";"2";"9";"9";"0.733";"84";"/storage/emulated/0/Documents/images/TE9/0117a.jpg";"26"
"884";"16.8";"45";"0.0";"1";"0";"60.5";"11";"11";"2";"9";"9";"0.73";"84";"/storage/emulated/0/Documents/images/TE9/0117a.jpg";"26"
