"Seconds";"Speed";"RPM";"Distance";"Calories";"Pulse";"Watts";"Load";"CurrentSessionLevel";"OriginalLevel";"SessionSkalaModifier";"CurrentSkalaModifier";"ANT_RR";"ANT_InstantHR";"CurrentPicture";"CurrentSessionNumber"
"865";"15.6";"42";"0.1";"2";"0";"46.0";"9";"9";"2";"7";"7";"0.772";"79";"/storage/emulated/0/Documents/images/TE5/0215a.jpg";"13"
"864";"15.6";"42";"0.1";"2";"0";"46.0";"9";"9";"2";"7";"7";"0.783";"79";"/storage/emulated/0/Documents/images/TE5/0215a.jpg";"13"
"863";"15.6";"42";"0.1";"2";"0";"46.0";"9";"9";"2";"7";"7";"0.775";"79";"/storage/emulated/0/Documents/images/TE5/0215a.jpg";"13"
"862";"14.9";"40";"0.1";"2";"0";"42.0";"9";"9";"2";"7";"7";"0.791";"78";"/storage/emulated/0/Documents/images/TE5/0215a.jpg";"13"
"861";"14.9";"40";"0.1";"2";"0";"42.0";"9";"9";"2";"7";"7";"0.775";"79";"/storage/emulated/0/Documents/images/TE5/0215a.jpg";"13"
"860";"14.9";"40";"0.1";"2";"0";"42.0";"9";"9";"2";"7";"7";"0.79";"78";"/storage/emulated/0/Documents/images/TE5/0215a.jpg";"13"
"859";"15.6";"42";"0.1";"2";"0";"46.0";"9";"9";"2";"7";"7";"0.788";"78";"/storage/emulated/0/Documents/images/TE5/0215a.jpg";"13"
"858";"16.4";"44";"0.1";"2";"0";"50.0";"9";"9";"2";"7";"7";"0.793";"78";"/storage/emulated/0/Documents/images/TE5/0215a.jpg";"13"
"857";"16.8";"45";"0.1";"2";"0";"52.0";"9";"9";"2";"7";"7";"0.788";"78";"/storage/emulated/0/Documents/images/TE5/0215a.jpg";"13"
"856";"16.8";"45";"0.1";"2";"0";"52.0";"9";"9";"2";"7";"7";"0.773";"78";"/storage/emulated/0/Documents/images/TE5/0215a.jpg";"13"
"855";"16.4";"44";"0.2";"2";"0";"50.0";"9";"9";"2";"7";"7";"0.791";"78";"/storage/emulated/0/Documents/images/TE5/0215a.jpg";"13"
"854";"16.4";"44";"0.2";"2";"0";"50.0";"9";"9";"2";"7";"7";"0.78";"78";"/storage/emulated/0/Documents/images/TE5/0215a.jpg";"13"
"853";"15.6";"42";"0.2";"2";"0";"46.0";"9";"9";"2";"7";"7";"0.769";"78";"/storage/emulated/0/Documents/images/TE5/0215a.jpg";"13"
"852";"15.6";"42";"0.2";"2";"0";"46.0";"9";"9";"2";"7";"7";"0.777";"78";"/storage/emulated/0/Documents/images/TE5/0215a.jpg";"13"
"851";"15.6";"42";"0.2";"2";"0";"46.0";"9";"9";"2";"7";"7";"0.769";"78";"/storage/emulated/0/Documents/images/TE5/0215a.jpg";"13"
"850";"15.6";"42";"0.2";"2";"0";"46.0";"9";"9";"2";"7";"7";"0.782";"78";"/storage/emulated/0/Documents/images/TE5/0215a.jpg";"13"
"849";"15.6";"42";"0.2";"2";"0";"46.0";"9";"9";"2";"7";"7";"0.785";"78";"/storage/emulated/0/Documents/images/TE5/0215a.jpg";"13"
"848";"15.6";"42";"0.2";"3";"0";"46.0";"9";"9";"2";"7";"7";"0.767";"79";"/storage/emulated/0/Documents/images/TE5/0215a.jpg";"13"
"847";"16.4";"44";"0.2";"3";"0";"50.0";"9";"9";"2";"7";"7";"0.781";"79";"/storage/emulated/0/Documents/images/TE5/0215a.jpg";"13"
"846";"16.4";"44";"0.2";"3";"0";"50.0";"9";"9";"2";"7";"7";"0.761";"79";"/storage/emulated/0/Documents/images/TE5/0215a.jpg";"13"
"845";"16.4";"44";"0.2";"3";"0";"50.0";"9";"9";"2";"7";"7";"0.77";"79";"/storage/emulated/0/Documents/images/TE5/0215a.jpg";"13"
"844";"16.0";"43";"0.2";"3";"0";"48.0";"9";"9";"2";"7";"7";"0.765";"79";"/storage/emulated/0/Documents/images/TE5/0215a.jpg";"13"
