"Seconds";"Speed";"RPM";"Distance";"Calories";"Pulse";"Watts";"Load";"CurrentSessionLevel";"OriginalLevel";"SessionSkalaModifier";"CurrentSkalaModifier";"ANT_RR";"ANT_InstantHR";"CurrentPicture";"CurrentSessionNumber"
"900";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"900";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"900";"20.1";"54";"0.0";"0";"0";"83.8";"11";"11";"2";"9";"9";"0.867";"66";"/storage/emulated/0/Documents/images/TE9/0117a.jpg";"27"
"899";"20.1";"54";"0.0";"0";"0";"83.8";"11";"11";"2";"9";"9";"0.865";"67";"/storage/emulated/0/Documents/images/TE9/0117a.jpg";"27"
"898";"18.2";"49";"0.0";"0";"0";"70.5";"11";"11";"2";"9";"9";"0.833";"68";"/storage/emulated/0/Documents/images/TE9/0117a.jpg";"27"
"897";"17.1";"46";"0.0";"0";"0";"63.0";"11";"11";"2";"9";"9";"0.827";"69";"/storage/emulated/0/Documents/images/TE9/0117a.jpg";"27"
"896";"17.1";"46";"0.0";"0";"0";"63.0";"11";"11";"2";"9";"9";"0.852";"69";"/storage/emulated/0/Documents/images/TE9/0117a.jpg";"27"
"895";"17.1";"46";"0.0";"0";"0";"63.0";"11";"11";"2";"9";"9";"0.85";"70";"/storage/emulated/0/Documents/images/TE9/0117a.jpg";"27"
"894";"17.1";"46";"0.0";"0";"0";"63.0";"11";"11";"2";"9";"9";"0.865";"70";"/storage/emulated/0/Documents/images/TE9/0117a.jpg";"27"
"893";"17.5";"47";"0.0";"0";"0";"65.5";"11";"11";"2";"9";"9";"0.872";"70";"/storage/emulated/0/Documents/images/TE9/0117a.jpg";"27"
"892";"16.8";"45";"0.0";"0";"0";"60.5";"11";"11";"2";"9";"9";"0.851";"70";"/storage/emulated/0/Documents/images/TE9/0117a.jpg";"27"
"891";"16.0";"43";"0.0";"0";"0";"55.5";"11";"11";"2";"9";"9";"0.854";"70";"/storage/emulated/0/Documents/images/TE9/0117a.jpg";"27"
"890";"16.0";"43";"0.0";"0";"0";"55.5";"11";"11";"2";"9";"9";"0.841";"71";"/storage/emulated/0/Documents/images/TE9/0117a.jpg";"27"
"889";"16.0";"43";"0.0";"0";"0";"55.5";"11";"11";"2";"9";"9";"0.817";"72";"/storage/emulated/0/Documents/images/TE9/0117a.jpg";"27"
"888";"16.0";"43";"0.0";"0";"0";"55.5";"11";"11";"2";"9";"9";"0.815";"72";"/storage/emulated/0/Documents/images/TE9/0117a.jpg";"27"
"887";"16.0";"43";"0.0";"1";"0";"55.5";"11";"11";"2";"9";"9";"0.828";"72";"/storage/emulated/0/Documents/images/TE9/0117a.jpg";"27"
"886";"15.6";"42";"0.0";"1";"0";"53.0";"11";"11";"2";"9";"9";"0.835";"72";"/storage/emulated/0/Documents/images/TE9/0117a.jpg";"27"
"885";"16.0";"43";"0.0";"1";"0";"55.5";"11";"11";"2";"9";"9";"0.837";"73";"/storage/emulated/0/Documents/images/TE9/0117a.jpg";"27"
"884";"16.4";"44";"0.0";"1";"0";"58.0";"11";"11";"2";"9";"9";"0.838";"73";"/storage/emulated/0/Documents/images/TE9/0117a.jpg";"27"
"883";"16.4";"44";"0.0";"1";"0";"58.0";"11";"11";"2";"9";"9";"0.829";"73";"/storage/emulated/0/Documents/images/TE9/0117a.jpg";"27"
"882";"16.0";"43";"0.0";"1";"0";"55.5";"11";"11";"2";"9";"9";"0.843";"73";"/storage/emulated/0/Documents/images/TE9/0117a.jpg";"27"
"881";"15.6";"42";"0.0";"1";"0";"53.0";"11";"11";"2";"9";"9";"0.844";"72";"/storage/emulated/0/Documents/images/TE9/0117a.jpg";"27"
